title,level,salary,location,skills,company,source
Data Scientist,Manager,125 triệu,Ho Chi Minh,"GCP, JavaScript",Demo Company,Sample data for demo purposes
QA Engineer,Junior,30 triệu,Hanoi,"Kubernetes, Java, Docker, AWS",Demo Company,Sample data for demo purposes
Product Manager,Senior,65 triệu,Hanoi,"GCP, Machine Learning, Java, Azure, NoSQL",Demo Company,Sample data for demo purposes
QA Engineer,Senior,60 triệu,Remote,"Python, AWS, Node.js, GCP",Demo Company,Sample data for demo purposes
Fullstack Developer,Mid-level,30 triệu,Ho Chi Minh,"AWS, Docker, GCP, JavaScript",Demo Company,Sample data for demo purposes
Frontend Developer,Intern,10 triệu,Da Nang,"React, Kubernetes",Demo Company,Sample data for demo purposes
DevOps Engineer,Junior,20 triệu,Ho Chi Minh,"Python, Machine Learning",Demo Company,Sample data for demo purposes
Backend Developer,Junior,6 triệu,Da Nang,"Deep Learning, GCP, Java",Demo Company,Sample data for demo purposes
QA Engineer,Junior,20 triệu,Ho Chi Minh,"SQL, AWS, Docker, GCP",Demo Company,Sample data for demo purposes
Software Engineer,Junior,30 triệu,Ho Chi Minh,"SQL, AWS, NoSQL, Kubernetes, Machine Learning",Demo Company,Sample data for demo purposes
Data Scientist,Junior,20 triệu,Hanoi,"Java, Azure, Node.js, NoSQL, Python",Demo Company,Sample data for demo purposes
Backend Developer,Senior,60 triệu,Hanoi,"Azure, Machine Learning, Python, Deep Learning, JavaScript",Demo Company,Sample data for demo purposes
Fullstack Developer,Intern,13 triệu,Da Nang,"SQL, NoSQL, Node.js, Docker",Demo Company,Sample data for demo purposes
Project Manager,Junior,25 triệu,Hanoi,"Kubernetes, React, Java",Demo Company,Sample data for demo purposes
Backend Developer,Intern,9 triệu,Da Nang,"JavaScript, Node.js",Demo Company,Sample data for demo purposes
Mobile Developer,Mid-level,35 triệu,Ho Chi Minh,"Deep Learning, Docker, Python, React",Demo Company,Sample data for demo purposes
Project Manager,Mid-level,20 triệu,Da Nang,"AWS, JavaScript, NoSQL, Java",Demo Company,Sample data for demo purposes
DevOps Engineer,Mid-level,40 triệu,Ho Chi Minh,"Machine Learning, NoSQL, Kubernetes",Demo Company,Sample data for demo purposes
DevOps Engineer,Manager,120 triệu,Hanoi,"Azure, AWS, Node.js, Python",Demo Company,Sample data for demo purposes
Data Analyst,Mid-level,45 triệu,Hanoi,"GCP, Python",Demo Company,Sample data for demo purposes
Mobile Developer,Mid-level,20 triệu,Remote,"Java, Python, Deep Learning, React, NoSQL",Demo Company,Sample data for demo purposes
Project Manager,Junior,19 triệu,Hanoi,"Java, Node.js",Demo Company,Sample data for demo purposes
Project Manager,Mid-level,25 triệu,Da Nang,"Azure, React, Java, Kubernetes, SQL",Demo Company,Sample data for demo purposes
Project Manager,Senior,65 triệu,Da Nang,"SQL, Machine Learning, Azure, Deep Learning, Java",Demo Company,Sample data for demo purposes
