job_title,level,salary,location,skills,source
Software Engineer,Junior,10 triệu,Hanoi,"GCP, Kubernetes, Machine Learning",Sample data for demo purposes
Software Engineer,Senior,60 triệu,Ho Chi Minh,"Java, Kubernetes",Sample data for demo purposes
Product Manager,Mid-level,40 triệu,Hanoi,"Node.js, Python, JavaScript, Azure",Sample data for demo purposes
Data Scientist,Mid-level,30 triệu,Hanoi,"Java, React, Node.js",Sample data for demo purposes
Project Manager,Senior,45 triệu,Remote,"AWS, Docker",Sample data for demo purposes
Mobile Developer,Mid-level,35 triệu,Ho Chi Minh,"Java, Docker, NoSQL, Machine Learning",Sample data for demo purposes
Backend Developer,Senior,45 triệu,Ho Chi Minh,"Python, Node.js",Sample data for demo purposes
Software Engineer,Mid-level,45 triệu,Ho Chi Minh,"SQL, GCP",Sample data for demo purposes
Project Manager,Mid-level,45 triệu,Ho Chi Minh,"JavaScript, Deep Learning, GCP",Sample data for demo purposes
Product Manager,Mid-level,35 triệu,Others,"GCP, SQL, Kubernetes, Deep Learning, Node.js",Sample data for demo purposes
QA Engineer,Junior,16 triệu,Ho Chi Minh,"Azure, SQL, Docker",Sample data for demo purposes
Mobile Developer,Junior,20 triệu,Hanoi,"Azure, Deep Learning",Sample data for demo purposes
Frontend Developer,Mid-level,25 triệu,Hanoi,"JavaScript, React, Python, Kubernetes",Sample data for demo purposes
Data Scientist,Mid-level,45 triệu,Remote,"GCP, NoSQL, SQL, Machine Learning",Sample data for demo purposes
Software Engineer,Intern,12 triệu,Ho Chi Minh,"Azure, JavaScript",Sample data for demo purposes
Mobile Developer,Junior,9 triệu,Hanoi,"SQL, Python, Deep Learning, JavaScript, GCP",Sample data for demo purposes
Data Analyst,Junior,7 triệu,Ho Chi Minh,"NoSQL, Kubernetes, GCP, Node.js, Java",Sample data for demo purposes
Backend Developer,Mid-level,45 triệu,Ho Chi Minh,"SQL, Machine Learning, React, Deep Learning, Node.js",Sample data for demo purposes
Frontend Developer,Junior,25 triệu,Ho Chi Minh,"Kubernetes, Python, Node.js, AWS, Azure",Sample data for demo purposes
DevOps Engineer,Senior,60 triệu,Ho Chi Minh,"JavaScript, Python",Sample data for demo purposes
QA Engineer,Senior,55 triệu,Ho Chi Minh,"React, Python, Java, GCP",Sample data for demo purposes
Software Engineer,Junior,25 triệu,Hanoi,"Java, React, Machine Learning, SQL",Sample data for demo purposes
Fullstack Developer,Senior,40 triệu,Ho Chi Minh,"React, GCP",Sample data for demo purposes
Data Analyst,Junior,25 triệu,Others,"Deep Learning, JavaScript, React, AWS, Python",Sample data for demo purposes
Mobile Developer,Mid-level,30 triệu,Ho Chi Minh,"GCP, Docker, React",Sample data for demo purposes
Mobile Developer,Junior,18 triệu,Ho Chi Minh,"Docker, Node.js, Deep Learning, Machine Learning, Java",Sample data for demo purposes
Data Analyst,Manager,70 triệu,Others,"JavaScript, Deep Learning, SQL",Sample data for demo purposes
Software Engineer,Senior,50 triệu,Remote,"React, Python, JavaScript",Sample data for demo purposes
Frontend Developer,Mid-level,40 triệu,Hanoi,"React, Docker",Sample data for demo purposes
Data Scientist,Mid-level,20 triệu,Ho Chi Minh,"React, AWS, JavaScript, Kubernetes",Sample data for demo purposes
Data Scientist,Senior,60 triệu,Hanoi,"Deep Learning, Node.js, React, AWS, Python",Sample data for demo purposes
QA Engineer,Mid-level,25 triệu,Hanoi,"Python, Java, Docker, Machine Learning",Sample data for demo purposes
Data Scientist,Senior,50 triệu,Ho Chi Minh,"Node.js, Java, Machine Learning",Sample data for demo purposes
Data Scientist,Lead,65 triệu,Ho Chi Minh,"GCP, Docker, Kubernetes",Sample data for demo purposes
Software Engineer,Junior,18 triệu,Da Nang,"GCP, React, Node.js, Deep Learning",Sample data for demo purposes
Data Scientist,Senior,55 triệu,Ho Chi Minh,"SQL, Node.js",Sample data for demo purposes
Data Scientist,Mid-level,45 triệu,Hanoi,"Java, SQL, Python, Kubernetes, NoSQL",Sample data for demo purposes
Project Manager,Lead,75 triệu,Ho Chi Minh,"SQL, Node.js",Sample data for demo purposes
Data Scientist,Mid-level,35 triệu,Hanoi,"Python, Machine Learning, Docker, React",Sample data for demo purposes
Data Scientist,Mid-level,40 triệu,Hanoi,"Node.js, NoSQL, JavaScript",Sample data for demo purposes
Backend Developer,Mid-level,25 triệu,Hanoi,"Kubernetes, AWS, JavaScript, Python, Machine Learning",Sample data for demo purposes
Mobile Developer,Mid-level,40 triệu,Ho Chi Minh,"Deep Learning, NoSQL, React",Sample data for demo purposes
Frontend Developer,Junior,15 triệu,Others,"React, Machine Learning, Kubernetes, Python, JavaScript",Sample data for demo purposes
Fullstack Developer,Junior,20 triệu,Hanoi,"Machine Learning, Python, Node.js, NoSQL",Sample data for demo purposes
DevOps Engineer,Mid-level,40 triệu,Hanoi,"Java, SQL, NoSQL",Sample data for demo purposes
DevOps Engineer,Junior,13 triệu,Ho Chi Minh,"GCP, SQL, Java, NoSQL",Sample data for demo purposes
Data Analyst,Senior,65 triệu,Hanoi,"Machine Learning, React",Sample data for demo purposes
Backend Developer,Lead,85 triệu,Hanoi,"Node.js, Machine Learning",Sample data for demo purposes
Software Engineer,Senior,70 triệu,Da Nang,"React, Kubernetes",Sample data for demo purposes
Fullstack Developer,Mid-level,40 triệu,Hanoi,"Machine Learning, React, Docker, GCP",Sample data for demo purposes
Data Analyst,Junior,25 triệu,Ho Chi Minh,"GCP, React, Machine Learning, SQL",Sample data for demo purposes
Data Scientist,Junior,15 triệu,Hanoi,"Machine Learning, React, SQL, NoSQL, GCP",Sample data for demo purposes
Mobile Developer,Senior,60 triệu,Ho Chi Minh,"NoSQL, Kubernetes, Azure, Machine Learning",Sample data for demo purposes
Mobile Developer,Mid-level,30 triệu,Hanoi,"GCP, SQL, JavaScript",Sample data for demo purposes
DevOps Engineer,Senior,55 triệu,Remote,"Python, SQL, Deep Learning",Sample data for demo purposes
DevOps Engineer,Mid-level,45 triệu,Ho Chi Minh,"SQL, Kubernetes, Python, Node.js",Sample data for demo purposes
Backend Developer,Junior,20 triệu,Ho Chi Minh,"Node.js, React, Docker",Sample data for demo purposes
Data Scientist,Senior,65 triệu,Ho Chi Minh,"AWS, React, Kubernetes",Sample data for demo purposes
Product Manager,Senior,50 triệu,Hanoi,"Kubernetes, Machine Learning, Java",Sample data for demo purposes
Project Manager,Junior,25 triệu,Da Nang,"Java, Kubernetes, Deep Learning",Sample data for demo purposes
Project Manager,Mid-level,45 triệu,Hanoi,"Node.js, Deep Learning, Java",Sample data for demo purposes
Fullstack Developer,Senior,70 triệu,Hanoi,"Machine Learning, GCP, Node.js, NoSQL",Sample data for demo purposes
QA Engineer,Lead,80 triệu,Da Nang,"SQL, Node.js, Azure",Sample data for demo purposes
Project Manager,Mid-level,25 triệu,Da Nang,"Machine Learning, React, Docker, JavaScript",Sample data for demo purposes
Data Scientist,Junior,17 triệu,Remote,"JavaScript, Deep Learning",Sample data for demo purposes
Product Manager,Manager,85 triệu,Hanoi,"NoSQL, Machine Learning, Kubernetes, SQL",Sample data for demo purposes
Mobile Developer,Junior,17 triệu,Hanoi,"SQL, React",Sample data for demo purposes
Data Scientist,Junior,25 triệu,Hanoi,"Python, Kubernetes",Sample data for demo purposes
Backend Developer,Senior,50 triệu,Hanoi,"JavaScript, Deep Learning, Node.js",Sample data for demo purposes
Data Scientist,Mid-level,35 triệu,Hanoi,"JavaScript, AWS, Azure, React",Sample data for demo purposes
Mobile Developer,Mid-level,45 triệu,Ho Chi Minh,"AWS, Docker, Azure",Sample data for demo purposes
Project Manager,Junior,18 triệu,Hanoi,"Java, React, Deep Learning, JavaScript, SQL",Sample data for demo purposes
Software Engineer,Mid-level,35 triệu,Ho Chi Minh,"SQL, Docker, Java, Python, Node.js",Sample data for demo purposes
Data Analyst,Junior,25 triệu,Hanoi,"Deep Learning, SQL",Sample data for demo purposes
DevOps Engineer,Senior,45 triệu,Ho Chi Minh,"GCP, React, Machine Learning, Deep Learning, Kubernetes",Sample data for demo purposes
Product Manager,Junior,30 triệu,Ho Chi Minh,"AWS, Azure, GCP, NoSQL",Sample data for demo purposes
Mobile Developer,Junior,16 triệu,Hanoi,"SQL, Python",Sample data for demo purposes
Mobile Developer,Junior,19 triệu,Hanoi,"Docker, Machine Learning",Sample data for demo purposes
Product Manager,Junior,15 triệu,Ho Chi Minh,"JavaScript, Azure, Python, NoSQL",Sample data for demo purposes
DevOps Engineer,Junior,10 triệu,Others,"React, NoSQL, Docker",Sample data for demo purposes
DevOps Engineer,Senior,40 triệu,Hanoi,"Kubernetes, NoSQL",Sample data for demo purposes
Software Engineer,Senior,45 triệu,Ho Chi Minh,"Azure, GCP, Node.js, Machine Learning",Sample data for demo purposes
DevOps Engineer,Mid-level,25 triệu,Ho Chi Minh,"Python, GCP, NoSQL",Sample data for demo purposes
Data Analyst,Mid-level,30 triệu,Ho Chi Minh,"React, Docker, AWS",Sample data for demo purposes
Frontend Developer,Mid-level,45 triệu,Ho Chi Minh,"Azure, React, Node.js, Kubernetes, Java",Sample data for demo purposes
DevOps Engineer,Junior,20 triệu,Da Nang,"JavaScript, Node.js, Java",Sample data for demo purposes
QA Engineer,Senior,55 triệu,Ho Chi Minh,"SQL, Deep Learning, NoSQL",Sample data for demo purposes
Backend Developer,Mid-level,35 triệu,Ho Chi Minh,"React, Docker, Azure, NoSQL, SQL",Sample data for demo purposes
DevOps Engineer,Junior,15 triệu,Ho Chi Minh,"GCP, React, Python",Sample data for demo purposes
DevOps Engineer,Junior,20 triệu,Remote,"AWS, Machine Learning, Java",Sample data for demo purposes
DevOps Engineer,Mid-level,30 triệu,Hanoi,"Node.js, Azure",Sample data for demo purposes
Data Analyst,Intern,11 triệu,Hanoi,"GCP, Machine Learning, Java, SQL, JavaScript",Sample data for demo purposes
Project Manager,Mid-level,35 triệu,Remote,"Java, Machine Learning, React, JavaScript",Sample data for demo purposes
Backend Developer,Junior,18 triệu,Others,"Docker, JavaScript, NoSQL, SQL",Sample data for demo purposes
Data Analyst,Senior,40 triệu,Hanoi,"GCP, Python, Docker, NoSQL, Machine Learning",Sample data for demo purposes
DevOps Engineer,Mid-level,30 triệu,Ho Chi Minh,"JavaScript, Kubernetes",Sample data for demo purposes
Fullstack Developer,Intern,12 triệu,Ho Chi Minh,"SQL, Java, Deep Learning, Azure",Sample data for demo purposes
Data Analyst,Junior,13 triệu,Ho Chi Minh,"React, SQL, Azure, Java",Sample data for demo purposes
QA Engineer,Mid-level,35 triệu,Da Nang,"NoSQL, Java",Sample data for demo purposes
Backend Developer,Junior,25 triệu,Hanoi,"Azure, SQL",Sample data for demo purposes
QA Engineer,Senior,40 triệu,Hanoi,"Java, Deep Learning, React",Sample data for demo purposes
Data Scientist,Mid-level,40 triệu,Ho Chi Minh,"Machine Learning, GCP, Deep Learning",Sample data for demo purposes
Mobile Developer,Senior,50 triệu,Hanoi,"AWS, Node.js, Machine Learning, Java",Sample data for demo purposes
Mobile Developer,Lead,95 triệu,Hanoi,"JavaScript, Azure",Sample data for demo purposes
Frontend Developer,Junior,18 triệu,Hanoi,"Deep Learning, Machine Learning, AWS",Sample data for demo purposes
Mobile Developer,Senior,70 triệu,Hanoi,"Kubernetes, SQL, AWS, Node.js",Sample data for demo purposes
Business Analyst,Junior,7 triệu,Da Nang,"Azure, React, Node.js, NoSQL, Python",Sample data for demo purposes
Frontend Developer,Junior,10 triệu,Hanoi,"SQL, Azure, AWS, JavaScript",Sample data for demo purposes
Software Engineer,Lead,70 triệu,Ho Chi Minh,"SQL, Node.js, NoSQL, AWS",Sample data for demo purposes
QA Engineer,Mid-level,40 triệu,Da Nang,"GCP, Docker, AWS, React",Sample data for demo purposes
DevOps Engineer,Manager,65 triệu,Hanoi,"SQL, Docker, Node.js, AWS",Sample data for demo purposes
Product Manager,Junior,15 triệu,Da Nang,"NoSQL, Python, SQL, Machine Learning, Docker",Sample data for demo purposes
Data Scientist,Mid-level,30 triệu,Da Nang,"Azure, AWS, Python",Sample data for demo purposes
Project Manager,Senior,50 triệu,Hanoi,"NoSQL, Java",Sample data for demo purposes
Data Scientist,Manager,135 triệu,Hanoi,"Java, Node.js, Deep Learning, Azure, React",Sample data for demo purposes
Product Manager,Lead,70 triệu,Ho Chi Minh,"NoSQL, Azure, React, Deep Learning, JavaScript",Sample data for demo purposes
Software Engineer,Lead,60 triệu,Hanoi,"Docker, Node.js, Python",Sample data for demo purposes
QA Engineer,Manager,75 triệu,Hanoi,"Machine Learning, SQL, JavaScript, NoSQL",Sample data for demo purposes
Business Analyst,Mid-level,35 triệu,Remote,"Azure, JavaScript, Deep Learning, Docker, NoSQL",Sample data for demo purposes
QA Engineer,Manager,120 triệu,Ho Chi Minh,"Deep Learning, Node.js, SQL, JavaScript",Sample data for demo purposes
Software Engineer,Senior,45 triệu,Ho Chi Minh,"NoSQL, React",Sample data for demo purposes
Product Manager,Junior,11 triệu,Da Nang,"Deep Learning, JavaScript, AWS, Node.js",Sample data for demo purposes
Product Manager,Senior,65 triệu,Ho Chi Minh,"React, Java, Machine Learning, Kubernetes",Sample data for demo purposes
Product Manager,Mid-level,30 triệu,Ho Chi Minh,"Docker, Azure, NoSQL, AWS",Sample data for demo purposes
Business Analyst,Senior,60 triệu,Hanoi,"GCP, NoSQL",Sample data for demo purposes
Frontend Developer,Senior,60 triệu,Others,"NoSQL, Python, Machine Learning",Sample data for demo purposes
Mobile Developer,Mid-level,35 triệu,Hanoi,"GCP, Node.js, Docker",Sample data for demo purposes
Data Scientist,Mid-level,30 triệu,Da Nang,"AWS, Deep Learning, NoSQL",Sample data for demo purposes
DevOps Engineer,Senior,55 triệu,Da Nang,"Python, Docker, NoSQL",Sample data for demo purposes
Frontend Developer,Mid-level,35 triệu,Hanoi,"Deep Learning, Node.js",Sample data for demo purposes
Data Analyst,Junior,19 triệu,Ho Chi Minh,"Node.js, SQL, GCP",Sample data for demo purposes
Software Engineer,Mid-level,35 triệu,Ho Chi Minh,"Node.js, React, GCP, JavaScript",Sample data for demo purposes
Data Analyst,Senior,65 triệu,Da Nang,"AWS, Machine Learning, Node.js, SQL",Sample data for demo purposes
Project Manager,Junior,15 triệu,Remote,"Deep Learning, Docker",Sample data for demo purposes
Project Manager,Senior,70 triệu,Ho Chi Minh,"AWS, NoSQL, Java, Python",Sample data for demo purposes
Business Analyst,Mid-level,35 triệu,Ho Chi Minh,"AWS, Kubernetes, NoSQL",Sample data for demo purposes
Data Scientist,Manager,135 triệu,Remote,"Deep Learning, NoSQL, Java",Sample data for demo purposes
Fullstack Developer,Junior,12 triệu,Hanoi,"JavaScript, Java, NoSQL, GCP, Deep Learning",Sample data for demo purposes
Data Analyst,Senior,45 triệu,Hanoi,"React, Machine Learning, SQL, Docker, Deep Learning",Sample data for demo purposes
Data Scientist,Junior,18 triệu,Hanoi,"AWS, SQL, Kubernetes",Sample data for demo purposes
QA Engineer,Mid-level,30 triệu,Hanoi,"NoSQL, SQL, Azure, Docker",Sample data for demo purposes
Frontend Developer,Junior,7 triệu,Da Nang,"React, Kubernetes, GCP",Sample data for demo purposes
Software Engineer,Senior,70 triệu,Da Nang,"Docker, AWS, Machine Learning, Azure, Python",Sample data for demo purposes
DevOps Engineer,Junior,25 triệu,Ho Chi Minh,"NoSQL, Node.js, Deep Learning, Azure",Sample data for demo purposes
Project Manager,Junior,10 triệu,Ho Chi Minh,"React, Azure, Kubernetes, Machine Learning, Deep Learning",Sample data for demo purposes
Software Engineer,Mid-level,30 triệu,Others,"Docker, JavaScript, Java, NoSQL, SQL",Sample data for demo purposes
